eixo;rotulo_kmz;altura_m;cota_eixo_m;cota_NA_m;cota_crista_m;area_controlada_km2;L_crista_m;V_aterro_hm3;area_alagada_km2;volume_hm3;custo_total_MRS
E08;EIXO#05;95;149,5;244,5;247,5;8158,7;501,1;5,809;15,72;462,3;806,7
E08;EIXO#05;100;149,5;249,5;252,5;8158,7;529,8;6,592;17,24;544,6;911,4
E08;EIXO#05;105;149,5;254,5;257,5;8158,7;558,4;7,432;19,25;635,7;1026,0
E08;EIXO#05;110;149,5;259,5;262,5;8158,7;587,1;8,337;21,1;736,6;1147,5
E08;EIXO#05;115;149,5;264,5;267,5;8158,7;587,1;9,306;23,26;847,5;1278,3
E08;EIXO#05;120;149,5;269,5;272,5;8158,7;644,3;10,34;25,26;968,9;1416,7
E09;EIXO#06;10;149,5;159,5;162,5;8173,5;186,1;0,073;1,27;9,3;18,6
E09;EIXO#06;15;149,5;164,5;167,5;8173,5;214,8;0,136;1,72;16,9;29,3
E09;EIXO#06;20;149,5;169,5;172,5;8173,5;214,8;0,222;2,13;26,4;42,2
E09;EIXO#06;25;149,5;174,5;177,5;8173,5;214,8;0,33;2,69;38,5;58,8
E09;EIXO#06;30;149,5;179,5;182,5;8173,5;243,4;0,462;3,06;52,9;77,4
E09;EIXO#06;35;149,5;184,5;187,5;8173,5;243,4;0,62;3,48;69,1;99,1
E09;EIXO#06;40;149,5;189,5;192,5;8173,5;300,7;0,808;3,94;87,7;125,4
E09;EIXO#06;45;149,5;194,5;197,5;8173,5;300,7;1,029;4,69;109,3;156,8
E09;EIXO#06;50;149,5;199,5;202,5;8173,5;329,3;1,281;5,21;134,1;190,8
E09;EIXO#06;55;149,5;204,5;207,5;8173,5;329,3;1,57;5,8;161,7;229,5
E09;EIXO#06;60;149,5;209,5;212,5;8173,5;358,0;1,895;6,38;192,2;272,9
E09;EIXO#06;65;149,5;214,5;217,5;8173,5;358,0;2,259;6,96;225,6;320,6
E09;EIXO#06;70;149,5;219,5;222,5;8173,5;386,6;2,664;7,56;261,9;373,8
E09;EIXO#06;75;149,5;224,5;227,5;8173,5;386,6;3,111;8,19;301,4;431,9
E09;EIXO#06;80;149,5;229,5;232,5;8173,5;386,6;3,6;8,84;344,2;495,3
E09;EIXO#06;85;149,5;234,5;237,5;8173,5;415,2;4,133;9,51;390,2;564,4
E09;EIXO#06;90;149,5;239,5;242,5;8173,5;415,2;4,711;13,94;442,1;661,6
E09;EIXO#06;95;149,5;244,5;247,5;8173,5;443,9;5,335;16,65;519,8;754,2
E09;EIXO#06;100;149,5;249,5;252,5;8173,5;443,9;6,007;18,2;606,9;845,2
E09;EIXO#06;105;149,5;254,5;257,5;8173,5;443,9;6,728;20,24;702,8;945,2
