DatGeracaoConjuntoDados;CodEmpreendimento;CodCEG;NomEmpreendimento;NumCoordNEmpreendimento;NumCoordEEmpreendimento;IdeStatusHist;IdeUFHist;NumProcesso;NomEmpreendimentoHist;MdaPotencia;DscCursoDagua;DscValorAtoAtivacao;DatAtoAtivacao;DatValidadeAtoOriginal;DscEmpreendedores1;DscEmpreendedores2;DscEmpreendedoresN;DscNumeroAtoProrrogado;DatValidadeProrrogada;DatPublicacaoProrrogada;IdSubBacia;DscSubBacia;DatCargaHistorico;IdeUF;SigUF;NomUF;IdcStatus;DscStatus
2026-07-01;048942;PCH.PH.GO.048942-5;Maurilândia;-17,96;-50,34;13;18;48500.005855/2022-36;Maurilândia;13,000;Rio Verde;242;29/01/2024;2032-01-29 00:00:00;Alicerce Administradora de Bens Ltda - 40384792000160; -; -;;;;60;Paranaiba;2026-06-30 09:43:52.357000000;18;GO;Goiás;13;DRS-PCH
2026-07-01;048943;PCH.PH.MG.048943-3;Monte Cristo;-21,37;-42,74;11;26;48500.008324/2026-29;Monte Cristo;10,000;Pomba;1.657;19/05/2026;2027-07-19 00:00:00;NB Energy Participações Ltda - 57202090000110; -; -;;;;58;Paraiba do Sul;2026-06-30 09:43:52.357000000;26;MG;Minas Gerais;11;DRI-PCH
2026-07-01;048944;PCH.PH.MG.048944-1;Morro Alto;-19,29;-46,74;15;26;48500.005263/2009-47;Morro Alto;14,700;Quebra Anzol;809;01/04/2014;; -; -; -;;;;60;Paranaiba;2026-06-30 09:43:52.357000000;26;MG;Minas Gerais;15;Eixo Disponível
2026-07-01;048945;PCH.PH.MG.048945-0;Mosquito;-18,82;-49,81;15;26;48500.003871/2001-15;Mosquito;12,300;Tijuco;950;12/05/2006;; -; -; -;;;;60;Paranaiba;2026-06-30 09:43:52.357000000;26;MG;Minas Gerais;15;Eixo Disponível
2026-07-01;048946;PCH.PH.MG.048946-8;Palmital;-15,16;-46,39;11;26;48500.007567/2026-40;Palmital;15,000;Ribeirão Ponte Grande;1.692;19/05/2026;2027-07-19 00:00:00;NB Energy Participações Ltda - 57202090000110; -; -;;;;43;Urucuia - Sao Francisco;2026-06-30 09:43:52.357000000;26;MG;Minas Gerais;11;DRI-PCH
2026-07-01;048947;PCH.PH.PR.048947-6;Palmito;-25,73;-48,94;15;39;48500.006245/2001-36;Palmito;6,000;Arraial e São João;219;22/04/2003;; -; -; -;;;;82;Cachoeira, Sao Joao e outros;2026-06-30 09:43:52.357000000;39;PR;Paraná;15;Eixo Disponível
2026-07-01;048948;PCH.PH.GO.048948-4;São Thomaz 4;-17,86;-50,62;13;18;48500.004385/2021-11;São Thomaz 4;5,500;São Tomás;2.678;03/08/2023;2031-08-03 00:00:00;PCH São Thomaz 4 Energética SPE Ltda - 48930497000173; -; -;;;;60;Paranaiba;2026-06-30 09:43:52.357000000;18;GO;Goiás;13;DRS-PCH
2026-07-01;048951;PCH.PH.PR.048951-4;Pardinho I;-25,02;-48,59;15;40;48500.000846/2001-53;Pardinho I;7,030;Rio Pardinho;869;18/11/2003;; -; -; -;;;;81;Ribeira do Iguape;2026-06-30 09:43:52.357000000;40;PR/SP;Paraná / São Paulo;15;Eixo Disponível
2026-07-01;048952;PCH.PH.GO.048952-2;Passa Três II;-13,70;-48,06;15;18;48500.002809/2009-16;Passa Três II;17,410;Preto;3794;22/09/2014;; -; -; -;;;;20;Alto Tocantins e rio Preto;2026-06-30 09:43:52.357000000;18;GO;Goiás;15;Eixo Disponível
2026-07-01;048953;PCH.PH.GO.048953-0;Prata III;-13,81;-48,02;15;18;48500.002809/2009-16;Prata III;19,240;Preto;3794;22/09/2014;; -; -; -;;;;20;Alto Tocantins e rio Preto;2026-06-30 09:43:52.357000000;18;GO;Goiás;15;Eixo Disponível
2026-07-01;048954;PCH.PH.BA.048954-9;Larguinha;,00;,00;15;11;48500.003739/1998-82;Larguinha;10,700;Rio Carinhanha;490;25/07/2001;; -; -; -;;;;45;Corrente e outros - Sao Francisco;2026-06-30 09:43:52.357000000;11;BA/MG;Bahia / Minas Gerais;15;Eixo Disponível
2026-07-01;048955;PCH.PH.MG.048955-7;Pirambeira do Capivari;-21,35;-44,88;15;26;48500.003637/2009-90;Pirambeira do Capivari;5,980;Capivari;1.826;09/06/2015;; -; -; -;;;;61;Grande;2026-06-30 09:43:52.357000000;26;MG;Minas Gerais;15;Eixo Disponível
2026-07-01;048956;PCH.PH.MG.048956-5;Pirapitanga Baixo;-18,94;-49,48;11;26;48500.004141/2024-72;Pirapitanga Baixo;11,200;Rio Tijuco;3.892;30/12/2024;2026-02-28 00:00:00;C-Nível Energias Renováveis Ltda - 16456838000124; -; -;;;;60;Paranaiba;2026-06-30 09:43:52.357000000;26;MG;Minas Gerais;11;DRI-PCH
2026-07-01;048957;PCH.PH.GO.048957-3;Pontal;-17,01;-49,08;15;18;48500.001485/2009-91;Pontal;12,000;Meia Ponte;2698;14/09/2010;; -; -; -;;;;60;Paranaiba;2026-06-30 09:43:52.357000000;18;GO;Goiás;15;Eixo Disponível
2026-07-01;048958;PCH.PH.MG.048958-1;Prata;-19,82;-47,24;15;26;48500.005658/2012-45;Prata;5,200;Araguari;3006;29/08/2013;; -; -; -;;;;60;Paranaiba;2026-06-30 09:43:52.357000000;26;MG;Minas Gerais;15;Eixo Disponível
2026-07-01;048959;PCH.PH.PR.048959-0;Quati;-25,81;-48,88;15;39;48500.006245/2001-36;Quati;15,000;São João;219;22/04/2003;; -; -; -;;;;82;Cachoeira, Sao Joao e outros;2026-06-30 09:43:52.357000000;39;PR;Paraná;15;Eixo Disponível
2026-07-01;048960;PCH.PH.MG.048960-3;Quebra Anzol;-19,37;-46,65;15;26;48500.005263/2009-47;Quebra Anzol;11,600;Quebra Anzol;809;01/04/2014;; -; -; -;;;;60;Paranaiba;2026-06-30 09:43:52.357000000;26;MG;Minas Gerais;15;Eixo Disponível
2026-07-01;048961;PCH.PH.GO.048961-1;Ranchinho II;-18,91;-51,41;15;18;48500.002812/2009-21;Ranchinho II;8,400;Corrente;4.248;16/12/2013;; -; -; -;;;;60;Paranaiba;2026-06-30 09:43:52.357000000;18;GO;Goiás;15;Eixo Disponível
2026-07-01;048962;PCH.PH.GO.048962-0;Retirinho;-18,55;-50,27;15;18;48500.001627/2007-41;Retirinho;7,250;São Francisco;2127;23/05/2011;; -; -; -;;;;62;Parana, Tiete e outros;2026-06-30 09:43:52.357000000;18;GO;Goiás;15;Eixo Disponível
2026-07-01;048963;PCH.PH.MG.048963-8;São José;-20,17;-44,80;11;26;48500.038361/2025-81;São José;7,200;Pará;245;30/01/2026;2027-03-30 00:00:00;Nascente Renováveis Ltda - 63636316000194; -; -;;;;40;Alto Sao Francisco, ate Tres Marias;2026-06-30 09:43:52.357000000;26;MG;Minas Gerais;11;DRI-PCH
