Protocolo_S2iD;Nome_Municipio;Sigla_UF;Cod_Cobrade;tipologia;descricao_tipologia;grupo_de_desastre;Cod_IBGE_Mun;Status;DH_MORTOS;DH_FERIDOS;DH_ENFERMOS;DH_DESABRIGADOS;DH_DESALOJADOS;DH_DESAPARECIDOS;DH_total_danos_humanos_diretos;DH_OUTROS AFETADOS;DM_total_danos_materiais;PEPL_total_publico;PEPR_total_privado;PE_PLePR;data_evento;data_registro;recorte
RS-F-4307807-12300-20160715;Estrela;RS;12300;1.00;Alagamentos;Hidrológico;4307807;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;2016-07-15;2016-07-26;historico_hidrologico
RS-F-4302352-12100-20161018;Bom Princípio;RS;12100;7.00;Inundações;Hidrológico;4302352;Reconhecido;0;0;0;0;20;0;20;6200;27601528,75;9548817,9;30892205,98;40441023,88;2016-10-18;2016-10-19;historico_hidrologico
RS-F-4301008-12100-20161019;Arroio do Meio;RS;12100;7.00;Inundações;Hidrológico;4301008;Registro;0;0;0;63;25;0;88;0;0,0;0,0;0,0;0,0;2016-10-19;2016-10-20;historico_hidrologico
RS-F-4322608-12200-20170312;Venâncio Aires;RS;12200;2.00;Enxurradas;Hidrológico;4322608;Registro;0;0;0;0;0;0;0;0;415099,41;415099,41;203113,5;618212,91;2017-03-12;2017-03-21;historico_hidrologico
RS-F-4301008-12100-20170527;Arroio do Meio;RS;12100;7.00;Inundações;Hidrológico;4301008;Registro;0;0;0;0;4;0;4;7879;1433923,72;1398075,62;716961,86;2115037,48;2017-05-27;2017-06-05;historico_hidrologico
RS-F-4312153-13214-20170608;Mato Leitão;RS;13214;13.00;Chuvas Intensas;Hidrológico;4312153;Reconhecido;0;0;0;0;0;0;0;789;234891,04;234891,04;3220490,5;3455381,55;2017-06-08;2017-06-09;historico_hidrologico
RS-F-4312054-12200-20170608;Marques de Souza;RS;12200;2.00;Enxurradas;Hidrológico;4312054;Registro;0;0;0;0;0;0;0;187;335448,53;337794,79;0,0;337794,79;2017-06-08;2017-06-16;historico_hidrologico
RS-F-4311403-12100-20170608;Lajeado;RS;12100;7.00;Inundações;Hidrológico;4311403;Registro;0;0;0;157;97;0;254;0;8962,02;0,0;0,0;0,0;2017-06-08;2017-06-28;historico_hidrologico
RS-F-4301008-12200-20170609;Arroio do Meio;RS;12200;2.00;Enxurradas;Hidrológico;4301008;Reconhecido;0;0;0;36;113;0;149;7881;2444580,04;4042048,14;1107706,07;5149754,21;2017-06-09;2017-06-13;historico_hidrologico
RS-F-4307807-12100-20170609;Estrela;RS;12100;7.00;Inundações;Hidrológico;4307807;Registro;0;0;0;60;160;0;220;0;526006,24;0,0;807388,67;807388,67;2017-06-09;2017-06-21;historico_hidrologico
